SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022057.022249,6691,6782.5,3426,3060.0,2856,2835.0,8,3,9,40
1697022058.802807,6500,5855.0,3292,3015.0,3110,3185.0,8,3,9,40
1697022061.004185,5349,13372.5,2162,5405.0,3110,7775.0,8,1,9,40
1697022065.09666,6312,5105.0,4034,2720.0,5419,4130.0,8,4,9,40
1697022067.019857,6450,4655.0,4134,2910.0,3767,2805.0,8,4,9,40
1697022069.18049,7213,7660.0,3478,2960.0,4737,4527.5,8,3,9,40
1697022071.298681,7053,4927.5,4190,2820.0,5798,4320.0,8,4,9,40
1697022072.982674,6530,5470.0,4272,2815.0,3201,2265.0,8,4,9,40
1697022074.703207,4878,6692.5,2932,3720.0,3012,4360.0,8,2,9,40
1697022076.949646,7107,4837.5,4396,3015.0,3229,2327.5,8,4,9,40
1697022078.792223,7103,10565.0,2712,3445.0,2554,3677.5,8,2,9,40
1697022080.813977,6017,8407.5,2884,3730.0,3394,4285.0,8,2,9,40
1697022083.438769,5485,5352.5,3590,3390.0,3150,3220.0,8,3,9,40
1697022085.463746,8134,5365.0,4090,2675.0,3329,2580.0,8,4,9,40
1697022087.235485,7137,6455.0,3728,3465.0,3364,3035.0,8,3,9,40
1697022089.571374,6505,16262.5,1884,4710.0,2480,6200.0,8,1,9,40
1697022092.401751,6545,6245.0,3398,3275.0,4992,4815.0,8,3,9,40
1697022094.310731,6324,6385.0,3494,3140.0,2818,2770.0,8,3,9,40
1697022096.358197,6106,4885.0,4078,2635.0,3372,2277.5,8,4,9,40
1697022098.284057,5773,8725.0,2868,3670.0,2783,3850.0,8,2,9,40
1697022100.254533,6511,8642.5,2856,3685.0,3016,4055.0,8,2,9,40
1697022102.969884,6376,15940.0,2038,5095.0,2896,7240.0,8,1,9,40
1697022106.68656,6093,5300.0,3476,3095.0,3181,3167.5,8,3,9,40
1697022108.732692,5266,13165.0,2094,5235.0,2908,7270.0,8,1,9,40
1697022112.944826,6397,4885.0,4318,2850.0,3218,2160.0,8,4,9,40
1697022114.52915,5444,5150.0,3618,3305.0,3351,3180.0,8,3,9,40
1697022116.609052,5588,13970.0,2066,5165.0,2920,7300.0,8,1,9,40
1697022120.172514,6671,9000.0,2668,3490.0,2730,3570.0,8,2,9,40
1697022122.382338,6709,4860.0,4004,2615.0,3767,2995.0,8,4,9,40
1697022124.523315,6894,7057.5,3482,2975.0,3041,3175.0,8,3,9,40
1697022126.757665,6735,4770.0,4076,2830.0,3454,2360.0,8,4,9,40
1697022128.534984,5976,14940.0,2194,5485.0,3180,7950.0,8,1,9,40
1697022133.121732,5055,12637.5,2062,5155.0,2991,7477.5,8,1,9,40
1697022137.319623,5517,4802.5,3548,3105.0,3621,3415.0,8,3,9,40
1697022139.480277,6161,7920.0,2996,3960.0,3214,4295.0,8,2,9,40
1697022142.408042,6219,4082.5,3994,2640.0,3145,2535.0,8,4,9,40
1697022144.033345,6559,6940.0,3440,3115.0,2688,2590.0,8,3,9,40
1697022146.027912,6269,8785.0,2824,3735.0,4118,6420.0,8,2,9,40
1697022148.555013,6127,7887.5,2922,3840.0,4165,6715.0,8,2,9,40
1697022150.989434,6036,15090.0,2092,5230.0,2880,7200.0,8,1,9,40
1697022154.36623,6156,5327.5,3494,3225.0,4891,5055.0,8,3,9,40
1697022156.317054,5627,14067.5,2110,5275.0,2851,7127.5,8,1,9,40
1697022159.912562,6447,5487.5,4060,3020.0,3168,2525.0,8,4,9,40
1697022161.7498,5218,13045.0,2100,5250.0,2764,6910.0,8,1,9,40
1697022165.302623,5266,13165.0,2130,5325.0,2760,6900.0,8,1,9,40
