SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022831.506554,2058,5145.0,506,1265.0,982,2455.0,2,1,3,40
1697022832.717972,4325,10812.5,1668,4170.0,2127,5317.5,7,1,8,40
1697022835.542183,1741,4352.5,506,1265.0,828,2070.0,2,1,3,40
1697022836.692595,3157,7892.5,1206,3015.0,1652,4130.0,4,1,5,40
1697022838.459856,2146,5365.0,1012,2530.0,1089,2722.5,3,1,4,40
1697022839.728124,3170,7925.0,1206,3015.0,1430,3575.0,4,1,5,40
1697022841.289052,4172,10430.0,1410,3525.0,1890,4725.0,5,1,6,40
1697022843.178119,640,1600.0,80,200.0,54,135.0,0,1,1,40
1697022844.187647,3446,8615.0,1318,3295.0,1246,3115.0,5,1,6,40
1697022845.744554,2172,5430.0,512,1280.0,800,2000.0,2,1,3,40
1697022846.859757,4064,10160.0,1606,4015.0,2394,5985.0,6,1,7,40
1697022849.231696,4603,11507.5,1878,4695.0,2460,6150.0,7,1,8,40
1697022852.187923,2708,6770.0,932,2330.0,1291,3227.5,3,1,4,40
1697022853.49169,5283,13207.5,1830,4575.0,2365,5912.5,7,1,8,40
1697022856.570146,544,1360.0,80,200.0,54,135.0,0,1,1,40
1697022857.570146,4964,12410.0,1930,4825.0,2503,6257.5,7,1,8,40
1697022860.509007,4746,11865.0,2120,5300.0,3014,7535.0,8,1,9,40
1697022864.189217,3084,7710.0,1484,3710.0,2014,5035.0,5,1,6,40
1697022866.291989,4043,10107.5,1560,3900.0,1948,4870.0,5,1,6,40
1697022868.498454,1261,3152.5,328,820.0,487,1217.5,1,1,2,40
1697022869.547354,4176,10440.0,1680,4200.0,2326,5815.0,6,1,7,40
1697022872.232464,5498,13745.0,1798,4495.0,2761,6902.5,7,1,8,40
1697022875.773154,1673,4182.5,506,1265.0,746,1865.0,2,1,3,40
1697022876.905225,568,1420.0,80,200.0,54,135.0,0,1,1,40
1697022877.926838,2928,7320.0,1206,3015.0,1532,3830.0,4,1,5,40
1697022879.553873,644,1610.0,80,200.0,54,135.0,0,1,1,40
1697022880.562255,2294,5735.0,934,2335.0,1147,2867.5,3,1,4,40
1697022881.963372,3387,8467.5,1200,3000.0,1374,3435.0,4,1,5,40
1697022883.447675,3921,9802.5,1572,3930.0,1988,4970.0,5,1,6,40
1697022885.41422,2254,5635.0,932,2330.0,1131,2827.5,3,1,4,40
1697022886.68327,1394,3485.0,328,820.0,511,1277.5,1,1,2,40
1697022887.73919,3988,9970.0,1380,3450.0,1725,4312.5,5,1,6,40
1697022889.66731,4213,10532.5,1510,3775.0,1901,4752.5,5,1,6,40
1697022891.785612,4008,10020.0,1408,3520.0,1965,4912.5,5,1,6,40
1697022893.517551,530,1325.0,80,200.0,54,135.0,0,1,1,40
1697022894.535115,5608,14020.0,2242,5605.0,2649,6622.5,8,1,9,40
1697022897.78247,4033,10082.5,1746,4365.0,2240,5600.0,6,1,7,40
1697022900.252047,2233,5582.5,934,2335.0,1187,2967.5,3,1,4,40
1697022901.545306,4363,10907.5,1758,4395.0,2206,5515.0,6,1,7,40
1697022903.741449,2340,5850.0,934,2335.0,1182,2955.0,3,1,4,40
1697022905.097521,4873,12182.5,1908,4770.0,2590,6475.0,7,1,8,40
1697022908.375137,2597,6492.5,928,2320.0,1152,2880.0,3,1,4,40
