SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697278691.879,428,195.0,720,200.0,176,95.0,0,15,1,9
1697278692.882686,260,205.0,320,200.0,152,110.0,0,5,1,8
1697278693.884268,446,190.0,640,200.0,366,160.0,0,8,1,16
1697278694.8863,318,205.0,480,200.0,114,105.0,0,10,1,6
1697278695.889337,100,180.0,240,200.0,52,80.0,0,10,1,3
1697278696.890513,54,135.0,80,200.0,14,35.0,0,7,1,1
1697278697.891752,392,200.0,640,200.0,180,100.0,0,9,1,8
1697278698.893648,142,205.0,320,200.0,90,105.0,0,6,1,4
1697278699.896225,562,205.0,800,200.0,352,145.0,0,13,1,19
1697278700.898124,192,190.0,400,200.0,108,95.0,0,8,1,9
1697278701.900133,142,145.0,240,200.0,58,65.0,0,18,1,3
1697278702.901132,294,170.0,480,200.0,248,140.0,0,8,1,12
1697278703.902495,236,320.0,160,200.0,84,105.0,0,2,1,12
1697278704.905023,242,300.0,240,200.0,132,120.0,0,3,1,9
1697278705.90702,500,205.0,960,200.0,236,105.0,0,18,1,12
1697278706.909424,264,190.0,400,200.0,100,90.0,0,18,1,5
1697278707.910594,480,200.0,720,200.0,276,125.0,0,12,1,17
1697278708.912625,490,200.0,640,200.0,290,115.0,0,13,1,15
1697278709.916132,214,205.0,240,200.0,128,110.0,0,4,1,9
1697278710.918119,160,170.0,240,200.0,40,70.0,0,17,1,3
1697278711.919385,730,205.0,1280,200.0,378,105.0,0,18,1,16
1697278712.919385,170,200.0,320,200.0,82,100.0,0,19,1,4
1697278713.919385,614,195.0,1040,200.0,310,95.0,0,18,1,13
1697278714.925474,58,135.0,160,200.0,14,35.0,0,7,1,2
1697278715.926781,180,190.0,240,200.0,154,170.0,0,4,1,9
1697278716.928163,192,205.0,240,200.0,84,105.0,0,5,1,6
1697278717.929411,230,575.0,80,200.0,42,105.0,0,1,1,12
1697278718.931429,436,200.0,640,200.0,462,210.0,0,14,1,15
1697278719.93452,188,180.0,240,200.0,94,105.0,0,3,1,6
1697278720.936657,192,180.0,240,200.0,144,150.0,0,4,1,9
1697278721.937757,384,205.0,720,200.0,168,105.0,0,12,1,9
1697278722.93906,478,205.0,560,200.0,270,130.0,0,10,1,13
1697278723.940891,412,200.0,560,200.0,298,145.0,0,11,1,13
1697278724.94367,238,180.0,320,200.0,78,80.0,0,15,1,4
1697278725.94367,398,205.0,720,200.0,218,105.0,0,14,1,9
1697278726.945988,68,170.0,80,200.0,28,70.0,0,18,1,1
1697278727.947001,318,195.0,480,200.0,230,135.0,0,8,1,11
1697278728.94952,618,190.0,1200,200.0,306,95.0,0,18,1,15
1697278729.949828,250,315.0,160,200.0,90,120.0,0,2,1,16
1697278730.953355,636,205.0,1280,200.0,320,105.0,0,16,1,16
1697278731.956435,136,180.0,480,200.0,76,80.0,0,18,1,6
1697278732.957646,74,185.0,80,200.0,34,85.0,0,10,1,1
1697278733.957646,492,205.0,720,200.0,314,120.0,0,17,1,18
1697278734.957646,238,205.0,320,200.0,184,155.0,0,4,1,12
1697278735.957646,326,205.0,480,200.0,186,120.0,0,8,1,12
1697278736.96538,640,195.0,800,200.0,376,140.0,0,10,1,20
1697278737.968411,412,205.0,800,200.0,228,105.0,0,11,1,10
1697278738.970604,346,265.0,320,200.0,208,155.0,0,5,1,16
1697278739.970604,448,205.0,800,200.0,228,105.0,0,10,1,10
1697278740.974583,684,195.0,1200,200.0,264,95.0,0,15,1,15
1697278741.97663,352,205.0,480,200.0,300,150.0,0,10,1,12
1697278742.979935,258,200.0,560,200.0,158,100.0,0,17,1,7
1697278743.982196,518,205.0,960,200.0,254,105.0,0,18,1,12
1697278744.984216,658,190.0,1120,200.0,314,90.0,0,17,1,14
1697278745.986488,148,205.0,240,200.0,64,105.0,0,7,1,3
1697278746.988021,414,290.0,400,200.0,246,160.0,0,6,1,20
1697278747.990296,386,225.0,480,200.0,356,190.0,0,7,1,17
1697278748.993002,344,195.0,480,200.0,214,115.0,0,6,1,11
1697278749.994018,186,195.0,320,200.0,98,95.0,0,10,1,4
1697278750.995018,356,155.0,800,200.0,136,70.0,0,16,1,10
1697278751.997227,770,200.0,1280,200.0,382,100.0,0,19,1,16
1697278752.999644,258,325.0,240,200.0,134,135.0,0,3,1,7
1697278754.00141,42,105.0,80,200.0,38,95.0,0,11,1,1
1697278755.002454,170,185.0,480,200.0,74,85.0,0,15,1,6
1697278756.004202,304,195.0,400,200.0,238,145.0,0,5,1,14
1697278757.006215,310,245.0,320,200.0,186,155.0,0,4,1,16
1697278758.008214,394,315.0,400,200.0,224,155.0,0,6,1,14
1697278759.011277,588,200.0,1120,200.0,280,100.0,0,18,1,14
1697278760.014252,248,290.0,240,200.0,114,105.0,0,3,1,15
1697278761.016879,252,630.0,80,200.0,46,115.0,0,1,1,14
1697278762.017922,386,205.0,720,200.0,206,105.0,0,16,1,9
1697278763.021231,146,165.0,240,200.0,62,75.0,0,12,1,3
1697278764.022378,274,180.0,400,200.0,110,80.0,0,5,1,5
1697278765.023532,256,395.0,160,200.0,148,195.0,0,2,1,17
1697278766.025704,212,205.0,320,200.0,88,105.0,0,12,1,4
1697278767.026726,438,205.0,720,200.0,304,120.0,0,15,1,17
1697278768.029562,114,285.0,80,200.0,54,135.0,0,1,1,4
1697278769.030685,142,195.0,160,200.0,68,105.0,0,2,1,6
1697278770.032711,292,185.0,400,200.0,172,120.0,0,7,1,9
1697278771.034705,620,180.0,1200,200.0,272,95.0,0,18,1,15
1697278772.03724,356,200.0,640,200.0,180,100.0,0,19,1,8
1697278773.039326,658,205.0,800,200.0,422,145.0,0,17,1,19
1697278774.041625,190,200.0,400,200.0,98,100.0,0,6,1,5
1697278775.041625,386,310.0,320,200.0,228,205.0,0,4,1,19
1697278776.046028,258,180.0,560,200.0,122,95.0,0,8,1,7
1697278777.047535,90,190.0,240,200.0,42,90.0,0,12,1,3
1697278778.049062,416,200.0,720,200.0,398,180.0,0,12,1,17
1697278779.051444,118,135.0,400,200.0,62,75.0,0,10,1,5
1697278780.051444,496,205.0,720,200.0,208,105.0,0,14,1,9
1697278781.053824,76,190.0,80,200.0,36,90.0,0,11,1,1
1697278782.055439,36,90.0,80,200.0,32,80.0,0,5,1,1
1697278783.056465,292,335.0,240,200.0,128,110.0,0,3,1,14
1697278784.056465,412,180.0,720,200.0,196,90.0,0,14,1,9
1697278785.059364,244,200.0,400,200.0,116,100.0,0,11,1,5
1697278786.061476,266,175.0,640,200.0,162,85.0,0,13,1,8
1697278787.062532,182,175.0,400,200.0,90,75.0,0,12,1,5
1697278788.063563,82,175.0,160,200.0,38,75.0,0,13,1,2
1697278789.065565,288,195.0,560,200.0,152,95.0,0,7,1,7
1697278790.067174,142,165.0,240,200.0,58,65.0,0,12,1,3
1697278791.067174,142,205.0,160,200.0,84,105.0,0,2,1,5
1697278792.069222,44,110.0,80,200.0,4,10.0,0,9,1,1
1697278793.069222,108,180.0,240,200.0,60,80.0,0,17,1,3
1697278794.071618,306,195.0,560,200.0,170,95.0,0,20,1,7
1697278795.07336,670,205.0,1280,200.0,318,105.0,0,19,1,16
1697278796.07553,414,205.0,720,200.0,198,105.0,0,18,1,9
1697278797.076838,412,205.0,640,200.0,200,105.0,0,9,1,8
1697278798.076838,428,195.0,560,200.0,342,150.0,0,12,1,14
1697278799.080582,462,335.0,480,200.0,430,235.0,0,7,1,18
1697278800.084585,94,150.0,160,200.0,50,75.0,0,11,1,2
1697278801.085585,224,220.0,240,200.0,148,150.0,0,3,1,15
1697278802.087565,696,205.0,1280,200.0,344,105.0,0,17,1,16
1697278803.088602,214,325.0,160,200.0,84,105.0,0,2,1,8
1697278804.088602,330,195.0,640,200.0,154,95.0,0,14,1,8
1697278805.092758,48,120.0,80,200.0,8,20.0,0,15,1,1
1697278806.093723,74,185.0,80,200.0,34,85.0,0,19,1,1
1697278807.093723,156,160.0,320,200.0,104,80.0,0,17,1,4
1697278808.095475,700,205.0,1200,200.0,316,105.0,0,20,1,15
1697278809.096647,748,205.0,1360,200.0,392,105.0,0,20,1,17
1697278810.101255,292,305.0,240,200.0,150,135.0,0,3,1,18
1697278811.101255,900,205.0,1520,200.0,464,105.0,0,20,1,19
1697278812.1081,234,210.0,240,200.0,116,115.0,0,3,1,11
1697278813.1091,390,200.0,560,200.0,266,125.0,0,10,1,13
1697278814.1111,478,270.0,560,200.0,502,235.0,0,8,1,20
1697278815.113845,282,195.0,480,200.0,114,95.0,0,8,1,6
1697278816.116035,366,205.0,640,200.0,190,105.0,0,13,1,8
1697278817.11805,498,205.0,800,200.0,376,120.0,0,12,1,19
1697278818.120053,172,180.0,320,200.0,84,80.0,0,12,1,4
1697278819.121855,392,195.0,640,200.0,318,175.0,0,8,1,16
1697278820.121855,496,205.0,720,200.0,348,130.0,0,15,1,18
1697278821.121855,432,205.0,560,200.0,300,160.0,0,12,1,14
1697278822.128774,222,195.0,320,200.0,156,110.0,0,5,1,11
1697278823.129972,230,205.0,480,200.0,98,105.0,0,12,1,6
1697278824.132009,330,825.0,80,200.0,78,195.0,0,1,1,19
1697278825.135409,82,205.0,80,200.0,42,105.0,0,11,1,1
1697278826.136523,194,200.0,240,200.0,110,100.0,0,17,1,3
1697278827.137971,62,155.0,80,200.0,22,55.0,0,11,1,1
1697278828.139126,290,205.0,480,200.0,122,105.0,0,15,1,6
1697278829.139126,472,165.0,960,200.0,208,90.0,0,14,1,12
1697278830.141812,272,345.0,160,200.0,130,210.0,0,2,1,20
1697278831.143713,240,180.0,400,200.0,76,80.0,0,19,1,5
1697278832.148428,142,160.0,240,200.0,58,60.0,0,9,1,3
1697278833.14996,532,200.0,720,200.0,352,135.0,0,16,1,17
1697278834.152007,354,250.0,400,200.0,254,160.0,0,6,1,13
1697278835.153009,484,195.0,720,200.0,296,110.0,0,15,1,17
1697278836.153009,70,175.0,80,200.0,30,75.0,0,10,1,1
1697278837.153009,396,255.0,400,200.0,216,110.0,0,6,1,20
1697278838.16107,782,190.0,1520,200.0,382,95.0,0,20,1,19
1697278839.162778,532,200.0,720,200.0,480,200.0,0,12,1,17
1697278840.165429,534,185.0,960,200.0,234,95.0,0,17,1,12
1697278841.168249,338,190.0,480,200.0,192,110.0,0,9,1,12
1697278842.168249,152,150.0,320,200.0,100,85.0,0,7,1,4
1697278843.168249,452,195.0,720,200.0,290,110.0,0,14,1,18
1697278844.173035,500,330.0,480,200.0,272,150.0,0,8,1,18
1697278845.174679,26,65.0,80,200.0,22,55.0,0,15,1,1
1697278846.17571,260,200.0,320,200.0,210,190.0,0,6,1,7
1697278847.176781,260,650.0,80,200.0,48,120.0,0,1,1,15
1697278848.178128,286,185.0,480,200.0,154,90.0,0,7,1,6
1697278849.181529,610,190.0,1200,200.0,334,95.0,0,20,1,15
1697278850.18301,562,205.0,960,200.0,262,105.0,0,18,1,12
1697278851.185032,234,185.0,480,200.0,138,95.0,0,18,1,6
1697278852.187028,738,200.0,1200,200.0,318,100.0,0,17,1,15
1697278853.189431,156,130.0,320,200.0,72,70.0,0,5,1,7
1697278854.191799,8,20.0,80,200.0,4,10.0,0,10,1,1
1697278855.191799,388,195.0,560,200.0,298,175.0,0,10,1,14
1697278856.194819,296,215.0,320,200.0,222,165.0,0,5,1,12
1697278857.197455,244,200.0,320,200.0,170,165.0,0,5,1,11
1697278858.20045,124,310.0,80,200.0,42,105.0,0,1,1,4
1697278859.20244,426,165.0,960,200.0,162,65.0,0,13,1,12
1697278860.204319,586,205.0,800,200.0,356,120.0,0,14,1,19
1697278861.205873,510,200.0,720,200.0,322,150.0,0,15,1,18
1697278862.211296,494,205.0,800,200.0,320,115.0,0,16,1,19
1697278863.213321,248,200.0,320,200.0,262,210.0,0,4,1,12
1697278864.21442,118,155.0,160,200.0,64,105.0,0,2,1,4
1697278865.216388,98,130.0,160,200.0,66,90.0,0,3,1,4
1697278866.217382,330,165.0,640,200.0,190,95.0,0,12,1,8
1697278867.219441,76,190.0,80,200.0,36,90.0,0,1,1,2
1697278868.220845,228,160.0,400,200.0,186,160.0,0,5,1,10
1697278869.222624,236,315.0,160,200.0,86,110.0,0,2,1,11
1697278870.223724,218,200.0,480,200.0,122,100.0,0,8,1,6
1697278871.224772,312,205.0,400,200.0,112,105.0,0,18,1,5
1697278872.227172,130,170.0,160,200.0,100,165.0,0,2,1,6
1697278873.228268,260,150.0,560,200.0,88,50.0,0,14,1,7
1697278874.23043,484,205.0,720,200.0,430,150.0,0,13,1,18
1697278875.232822,488,360.0,400,200.0,268,170.0,0,5,1,20
1697278876.236055,414,270.0,560,200.0,276,120.0,0,9,1,19
