SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697021958.556337,468,625.0,444,660.0,245,312.5,2,2,3,6
1697021959.558129,1222,3055.0,980,2450.0,474,1185.0,6,1,7,10
1697021960.644284,791,990.0,774,1085.0,332,530.0,3,2,4,8
1697021961.658659,274,200.0,320,200.0,266,185.0,0,4,1,13
1697021962.664566,1062,770.0,1120,865.0,582,462.5,2,4,3,17
1697021963.6786,2061,2750.0,1344,1775.0,942,1262.5,5,2,6,16
1697021964.781957,1839,4597.5,850,2125.0,1001,2502.5,3,1,4,32
1697021965.98583,1753,2560.0,1020,1285.0,1128,1715.0,2,2,3,28
1697021967.033439,1408,1887.5,1200,1525.0,919,1260.0,3,2,4,20
1697021968.084276,238,300.0,332,420.0,117,197.5,1,2,2,5
1697021969.08669,920,2300.0,720,1800.0,406,1015.0,5,1,6,7
1697021970.135189,2232,1545.0,1816,1480.0,1206,912.5,3,4,4,25
1697021971.20486,574,1065.0,624,1120.0,299,482.5,4,2,5,3
1697021972.20486,5156,3525.0,3358,2285.0,2576,1730.0,6,4,7,39
1697021973.552443,386,785.0,452,860.0,300,450.0,4,2,5,2
1697021974.554337,536,530.0,240,200.0,134,115.0,0,3,1,34
1697021975.560962,2146,1680.0,1992,1325.0,1305,1025.0,3,4,4,26
1697021976.616253,505,765.0,680,855.0,270,355.0,2,2,3,7
1697021977.624002,3687,9217.5,1330,3325.0,1708,4270.0,7,1,8,29
1697021979.809186,930,817.5,1074,820.0,714,585.0,1,4,2,22
1697021980.829245,813,1040.0,846,1075.0,367,465.0,2,2,3,13
1697021981.838088,2006,1685.0,1562,1395.0,773,780.0,4,3,5,13
1697021982.885539,937,1430.0,932,1265.0,564,770.0,2,2,3,18
1697021983.906759,4227,10567.5,1596,3990.0,2040,5100.0,6,1,7,34
1697021986.007952,684,865.0,796,880.0,440,472.5,3,3,4,3
1697021987.023786,5449,7642.5,2674,3385.0,2564,3325.0,8,2,9,32
1697021988.811661,1873,2787.5,1278,1695.0,1385,2177.5,3,2,4,26
1697021989.947753,3943,5442.5,2092,2690.0,1800,2372.5,7,2,8,22
1697021991.325373,1723,4307.5,1068,2670.0,1157,2892.5,5,1,6,21
1697021992.620842,1457,3642.5,910,2275.0,612,1530.0,6,1,7,11
1697021993.768049,384,960.0,80,200.0,48,120.0,0,1,1,28
1697021994.768049,3645,4692.5,1842,2375.0,1276,2000.0,7,2,8,21
1697021996.072741,2354,5885.0,1252,3130.0,922,2305.0,8,1,9,18
1697021997.36195,760,1710.0,804,1780.0,444,835.0,8,4,9,2
1697021998.373916,568,1420.0,632,1580.0,370,925.0,6,1,7,3
1697021999.396316,190,300.0,160,200.0,110,170.0,0,2,1,10
1697022000.398573,3881,3300.0,3204,2125.0,2366,1590.0,7,4,8,26
1697022001.717826,224,195.0,240,200.0,128,110.0,0,3,1,9
1697022002.717826,1397,1425.0,1478,1105.0,953,707.5,3,4,4,15
1697022003.750685,2251,2482.5,1832,1715.0,1608,1540.0,4,3,5,21
1697022004.828145,758,1000.0,668,845.0,343,525.0,2,2,3,9
1697022005.836879,2472,1890.0,2444,1810.0,2138,1565.0,5,4,6,21
1697022006.960582,1658,2157.5,1004,1255.0,994,1460.0,2,2,3,39
1697022008.045815,4597,3430.0,3212,2395.0,2813,2080.0,6,4,7,37
1697022009.302116,2976,4537.5,1904,2490.0,1359,2222.5,7,2,8,18
1697022010.525473,886,1310.0,656,820.0,401,552.5,1,2,2,26
1697022011.556948,128,320.0,80,200.0,46,115.0,0,1,1,15
1697022012.558824,5241,4085.0,3914,2620.0,2884,2320.0,8,4,9,31
1697022014.198827,4141,3380.0,3290,2265.0,1939,1627.5,7,4,8,24
1697022015.442461,4869,12172.5,1612,4030.0,1971,4927.5,6,1,7,33
1697022017.575987,282,415.0,160,200.0,92,125.0,0,2,1,19
1697022018.575987,2979,3042.5,1964,1700.0,1334,1340.0,3,3,4,40
1697022019.725497,838,2095.0,920,2300.0,414,1035.0,8,1,9,5
1697022020.777998,752,1880.0,624,1560.0,506,1265.0,4,1,5,10
1697022021.84877,1071,1072.5,828,820.0,461,530.0,1,3,2,21
1697022022.860746,526,435.0,320,200.0,162,110.0,0,4,1,29
1697022023.86381,859,970.0,906,820.0,301,270.0,1,3,2,18
1697022024.865206,1577,2017.5,1438,2020.0,908,1245.0,6,2,7,14
1697022025.976972,54,135.0,80,200.0,14,35.0,0,3,1,1
1697022026.976972,1450,1425.0,1660,1695.0,800,910.0,6,3,7,11
1697022028.018431,601,1502.5,694,1735.0,212,530.0,8,1,9,4
1697022029.043317,1047,2617.5,606,1515.0,368,920.0,3,1,4,12
1697022030.068243,1154,1462.5,1136,1510.0,728,955.0,3,2,4,16
1697022031.128359,887,1142.5,818,1105.0,580,802.5,3,2,4,11
1697022032.161101,1916,2560.0,1296,1710.0,1427,2310.0,3,2,4,30
1697022033.282073,2015,2812.5,1418,1810.0,895,1347.5,4,2,5,22
1697022034.37801,750,557.5,898,820.0,389,342.5,1,4,2,20
1697022035.385958,1454,3635.0,1010,2525.0,770,1925.0,6,1,7,11
1697022036.557692,1673,2332.5,1004,1255.0,730,1005.0,2,2,3,34
1697022037.629914,2426,1922.5,1928,1320.0,1456,1265.0,3,4,4,28
1697022038.720356,375,937.5,328,820.0,212,530.0,1,1,2,12
1697022039.731401,864,2160.0,786,1965.0,382,955.0,6,1,7,8
1697022040.776774,583,520.0,742,625.0,389,427.5,1,3,2,15
1697022041.776774,654,565.0,760,640.0,228,262.5,3,4,4,5
1697022042.788488,3910,5535.0,2230,2860.0,1917,2550.0,6,2,7,33
1697022044.347735,1029,1415.0,656,820.0,448,670.0,1,2,2,33
1697022045.377265,1816,2540.0,1502,1965.0,814,1100.0,5,2,6,16
1697022046.484091,4255,3920.0,3068,2825.0,1931,2035.0,7,3,8,27
1697022047.880722,1478,1350.0,1642,1385.0,1097,950.0,7,3,8,9
1697022048.969551,1300,930.0,1478,1080.0,850,722.5,3,4,4,19
1697022049.994208,428,620.0,160,200.0,92,115.0,0,2,1,33
1697022050.994208,662,1655.0,688,1720.0,201,502.5,7,2,8,1
1697022052.004216,1957,2510.0,1364,1900.0,1672,2537.5,5,2,6,19
1697022053.152707,1413,3532.5,778,1945.0,670,1675.0,3,1,4,20
1697022054.292544,1264,1112.5,1312,820.0,1285,1002.5,1,4,2,37
